Id	Sku	Company_name	Company_website	Company_industry	Company_revenue	Company_location	Company_webdomain	Company_employee_size	Description	Contact_name
3.0	Adapt3	A Better Answer	http://www.abetteranswer.com	Telecommunications	$1 - 10M	Plano,  Texas, United States	http://www.abetteranswer.com	100 - 250	A Better Answer was founded in 1971 and is located at 1410 G Avenue,Plano, Texas,United States. A Better Answer has an estimated 100 - 250 employees and an estimated annual revenue of more than $1 - 10M. Adapt has contact details of 7 people working at A Better Answer which includes  This includes . You can visit A Better Answer website	{name:Vicki Young,title:President,email:v*****@abetteranswer.com,firstName:Vicki,lastName:Young,companyName:null,seoPath:vicki-young/973965112,phone:null},{name:Lola Longria,title:Information Technology Director,email:l*****@abetteranswer.com,firstName:Lola,lastName:Longria,companyName:null,seoPath:lola-longria/886325784,phone:null},{name:Jessica Brown,title:Director of Marketing,email:j*****@abetteranswer.com,firstName:Jessica,lastName:Brown,companyName:null,seoPath:jessica-brown/963075138,phone:null},{name:Stephanie Hyde,title:Information Technology Manager,email:s*****@abetteranswer.com,firstName:Stephanie,lastName:Hyde,companyName:null,seoPath:stephanie-hyde/784952247,phone:null},{name:Hildie Ciejka,title:Customer Service Manager,email:h*****@abetteranswer.com,firstName:Hildie,lastName:Ciejka,companyName:null,seoPath:hildie-ciejka/460158673,phone:+1******03},{name:Weiler Debbie,title:Office Manager,email:d*****@abetteranswer.com,firstName:Weiler,lastName:Debbie,companyName:null,seoPath:debbie-weiler/763881164,phone:null},{name:Dee Sobelman,title:Telereceptionist,email:d*****@abetteranswer.com,firstName:Dee,lastName:Sobelman,companyName:null,seoPath:dee-hawkins/213379235,phone:+1******22}
7.0	Adapt7	Crexendo Business Solutions	http://www.crexendo.com	Telecommunications	$10 - 50M	Tempe, Arizona, United States	http://www.crexendo.com	100 - 250	Crexendo Business Solutions was founded in 1995 and is located at 1615 South 52nd Street,Tempe,Arizona,United States. Crexendo Business Solutions has an estimated 100 - 250 employees and an estimated annual revenue of more than $10 - 50M. Adapt has contact details of 56 people working at Crexendo Business Solutions which includes  This includes . You can visit Crexendo Business Solutions website	{name:Steve Mihaylo,title:Chairman and Chief Executive Officer,email:s*****@crexendo.com,firstName:Steve,lastName:Mihaylo,companyName:null,seoPath:steve-mihaylo/850444190,phone:+1******77},{name:Doug Gaylor,title:President and Chief Operating Officer,email:d*****@crexendo.com,firstName:Doug,lastName:Gaylor,companyName:null,seoPath:doug-gaylor/223132637,phone:null},{name:Rich Braband,title:Managing Director of Strategic Accounts,email:r*****@crexendo.com,firstName:Rich,lastName:Braband,companyName:null,seoPath:richard-braband/327039052,phone:null},{name:Ron Vincent,title:Chief Financial Officer,email:r*****@crexendo.com,firstName:Ron,lastName:Vincent,companyName:null,seoPath:ron-vincent/866032953,phone:null},{name:Brian Spitler,title:Vice President of Operations,email:b*****@crexendo.com,firstName:Brian,lastName:Spitler,companyName:null,seoPath:brian-spitler/487431311,phone:+1******65},{name:Nishith Chudasama,title:Vice President of Engineering,email:n*****@crexendo.com,firstName:Nishith,lastName:Chudasama,companyName:null,seoPath:nishith-chudasama/681560576,phone:+1******92},{name:Jon Brinton,title:Chief Revenue Officer,email:j*****@crexendo.com,firstName:Jon,lastName:Brinton,companyName:null,seoPath:jon-brinton/78369654,phone:null},{name:Joe Seeler,title:Controller,email:j*****@crexendo.com,firstName:Joe,lastName:Seeler,companyName:null,seoPath:joe-seeler/234710506,phone:null},{name:Zack Taylor,title:Director, Customer Success,email:z*****@crexendo.com,firstName:Zack,lastName:Taylor,companyName:null,seoPath:zack-taylor/720525966,phone:null}
16.0	Adapt16	ABIS	http://www.abisinc.com	Telecommunications	$50 - 100M	Grand Prairie, Texas, United States	http://www.abisinc.com	25 - 100	ABIS was founded in 1979 and is located at 310 East Trinity Boulevard Suite 600,Grand Prairie,Texas,United States. ABIS has an estimated 25 - 100 employees and an estimated annual revenue of more than $50 - 100M. Adapt has contact details of 11 people working at ABIS which includes  This includes . You can visit ABIS website	{name:David Fizzano,title:Chief Executive Officer,email:d*****@abisinc.com,firstName:David,lastName:Fizzano,companyName:null,seoPath:david-fizzano/615434380,phone:+1******47},{name:Georgio Mulongo,title:General Manager,email:g*****@abisinc.com,firstName:Georgio,lastName:Mulongo,companyName:null,seoPath:georgio-mulongo/474353146,phone:+1******47},{name:G Ardhanareeswaran,title:Executive,email:g*****@abisinc.com,firstName:G,lastName:Ardhanareeswaran,companyName:null,seoPath:g-ardhanareeswaran/718199497,phone:+1******47},{name:Kelly Golden,title:Vice President Solution Sales,email:k*****@abisinc.com,firstName:Kelly,lastName:Golden,companyName:null,seoPath:kelly-golden/132696186,phone:+1******47},{name:Jason Miller,title:Director of Sales,email:j*****@abisinc.com,firstName:Jason,lastName:Miller,companyName:null,seoPath:jason-miller/959168493,phone:+1******47},{name:Amjad Obaida,title:Technical Manager,email:a*****@abisinc.com,firstName:Amjad,lastName:Obaida,companyName:null,seoPath:amjad-obaida/546009386,phone:+1******47},{name:Online Business,title:Social Media Marketing Manager,email:o*****@abisinc.com,firstName:Online,lastName:Business,companyName:null,seoPath:online-business/655642140,phone:+1******47},{name:Aseel Alkhalaf,title:Office Administrator,email:a*****@abisinc.com,firstName:Aseel,lastName:Alkhalaf,companyName:null,seoPath:aseel-alkhalaf/959170686,phone:+1******47},{name:Renaud Dumont,title:Dirigeant d\\xe2\\x80\\x99entreprise chez,email:r*****@abisinc.com,firstName:Renaud,lastName:Dumont,companyName:null,seoPath:renaud-dumont/20956722,phone:+1******47}
17.0	Adapt17	Abmnus	http://www.abmnus.com	Telecommunications	$1 - 10M	Bronxville, New york, United States	http://www.abmnus.com	25 - 100	Abmnus was founded in 2012 and is located at 2660 PARK AVENUE,Bronxville,New york,United States. Abmnus has an estimated 25 - 100 employees and an estimated annual revenue of more than $1 - 10M. Adapt has contact details of 2 people working at Abmnus which includes  This includes . You can visit Abmnus website	{name:Ali null,title:President and Chief Executive Officer,email:a*****@abmnus.com,firstName:Ali,lastName:null,companyName:null,seoPath:imdad-ali/534088974,phone:+1******17},{name:Nissim Akiva,title:Executive Assistant to Chief Executive Officer,email:n*****@abmnus.com,firstName:Nissim,lastName:Akiva,companyName:null,seoPath:nissim-akiva/285626973,phone:null}
19.0	Adapt19									
20.0	Adapt20	ABR Industries	http://www.abrind.com	Telecommunications	$0 - 1M	Houston,  Texas, United States	http://www.abrind.com	25 - 100	ABR Industries was founded in 2010 and is located at 8561 Rayson Road Suite A,Houston, Texas,United States. ABR Industries has an estimated 25 - 100 employees and an estimated annual revenue of more than $0 - 1M. Adapt has contact details of 3 people working at ABR Industries which includes  This includes . You can visit ABR Industries website	{name:Benjamin Abramson,title:Partner,email:b*****@abrind.com,firstName:Benjamin,lastName:Abramson,companyName:null,seoPath:benjamin-abramson/245803894,phone:null},{name:Shannon Fields,title:Sales Manager,email:s*****@abrind.com,firstName:Shannon,lastName:Fields,companyName:null,seoPath:shannon-abramson/441556677,phone:null}
23.0	Adapt23									
24.0	Adapt24	Acacia Communications	http://www.acacia-inc.com	Telecommunications	$1 - 10M	Maynard, Massachusetts, United States	http://www.acacia-inc.com	250 - 1000	Acacia Communications was founded in 2009 and is located at Three Clock Tower Place Suite 210,Maynard,Massachusetts,United States. Acacia Communications has an estimated 250 - 1000 employees and an estimated annual revenue of more than $1 - 10M. Adapt has contact details of 324 people working at Acacia Communications which includes  This includes . You can visit Acacia Communications website	{name:Renee Pianka,title:Chief Human Resource Officer,email:r*****@acacia-inc.com,firstName:Renee,lastName:Pianka,companyName:null,seoPath:renee-pianka/145794001,phone:null},{name:Stan Reiss,title:Board Member,email:s*****@acacia-inc.com,firstName:Stan,lastName:Reiss,companyName:null,seoPath:stan-reiss/284015396,phone:null},{name:Raj Shanmugaraj,title:President and Chief Executive Officer,email:r*****@acacia-inc.com,firstName:Raj,lastName:Shanmugaraj,companyName:null,seoPath:raj-shanmugaraj/133321399,phone:+1******14},{name:Benny Mikkelsen,title:Co-founder and Chief Technology Officer,email:b*****@acacia-inc.com,firstName:Benny,lastName:Mikkelsen,companyName:null,seoPath:benny-mikkelsen/727405197,phone:null},{name:John Gavin,title:Chief Financial Officer,email:j*****@acacia-inc.com,firstName:John,lastName:Gavin,companyName:null,seoPath:john-gavin/799315345,phone:null},{name:Janene Asgeirsson,title:Chief Legal Officer and Secretary,email:j*****@acacia-inc.com,firstName:Janene,lastName:Asgeirsson,companyName:null,seoPath:janene-asgeirsson/173260245,phone:null},{name:Robert Bickle,title:Chief Quality Officer,email:r*****@acacia-inc.com,firstName:Robert,lastName:Bickle,companyName:null,seoPath:robert-bickle/538664191,phone:null},{name:Peter Chung,title:Board Member,email:p*****@acacia-inc.com,firstName:Peter,lastName:Chung,companyName:null,seoPath:peter-chung/865113233,phone:null},{name:Tarun Gupta,title:Assistant Vice President Mixed-Signal Engineering,email:t*****@acacia-inc.com,firstName:Tarun,lastName:Gupta,companyName:null,seoPath:tarun-gupta/933587789,phone:null}
29.0	Adapt29	Access Communications Cooperative Limited	http://www.myaccess.ca	Telecommunications	$50 - 100M	Regina,  Saskatchewan, Canada	http://www.myaccess.ca	250 - 1000	Access Communications Cooperative Limited was founded in 1974 and is located at 2250 Park Street,Regina, Saskatchewan,Canada. Access Communications Cooperative Limited has an estimated 250 - 1000 employees and an estimated annual revenue of more than $50 - 100M. Adapt has contact details of 61 people working at Access Communications Cooperative Limited which includes  This includes . You can visit Access Communications Cooperative Limited website	{name:Carmela Haines,title:Chief Operating Officer,email:h*****@myaccess.ca,firstName:Carmela,lastName:Haines,companyName:null,seoPath:carmela-haines/940587803,phone:null},{name:Vincent Kumar,title:Chief Executive Officer,email:v*****@myaccess.ca,firstName:Vincent,lastName:Kumar,companyName:null,seoPath:mike-fiona-vincent/131117729,phone:null},{name:Karen Smith,title:Board Member,email:k*****@myaccess.ca,firstName:Karen,lastName:Smith,companyName:null,seoPath:karen-smith/180268416,phone:null},{name:Greg Dozorec,title:Owner,email:g*****@myaccess.ca,firstName:Greg,lastName:Dozorec,companyName:null,seoPath:greg-dozorec/528723967,phone:null},{name:Bernie Eiswirth,title:Executive Officer,email:b*****@myaccess.ca,firstName:Bernie,lastName:Eiswirth,companyName:null,seoPath:bernie-eiswirth/924167121,phone:null},{name:Roland Schulz,title:Vice President Finance and Admin,email:r*****@myaccess.ca,firstName:Roland,lastName:Schulz,companyName:null,seoPath:roland-schulz/996774080,phone:null},{name:Chris Robins,title:Vice President,email:c*****@myaccess.ca,firstName:Chris,lastName:Robins,companyName:null,seoPath:chris-robins/988285086,phone:null},{name:Wade Peterson,title:Manager, Residential and Commercial Sales,email:w*****@myaccess.ca,firstName:Wade,lastName:Peterson,companyName:null,seoPath:wade-peterson/590794872,phone:null},{name:Bill Terry,title:Commercial Account Executive,email:b*****@myaccess.ca,firstName:Bill,lastName:Terry,companyName:null,seoPath:bill-terry/542764033,phone:null}
34.0	Adapt34	accrotool.com	http://www.accrotool.com	Telecommunications		New Kensington, Pennsylvania, United States	http://www.accrotool.com	100 - 250	accrotool.com was founded in 1972 and is located at 401 Hunt Valley Road,New Kensington,Pennsylvania,United States. accrotool.com has an estimated 100 - 250 employees and an estimated annual revenue of more than null. Adapt has contact details of 13 people working at accrotool.com which includes  This includes . You can visit accrotool.com website	{name:Hal Walls,title:President,email:h*****@accrotool.com,firstName:Hal,lastName:Walls,companyName:null,seoPath:hal-walls/487637674,phone:+1******60},{name:Mark Roach,title:Vice President of Business Development,email:m*****@accrotool.com,firstName:Mark,lastName:Roach,companyName:null,seoPath:mark-roach/762667799,phone:+1******60},{name:Darlene Dreshman,title:Human Resources Manager,email:d*****@accrotool.com,firstName:Darlene,lastName:Dreshman,companyName:null,seoPath:darlene-dreshman/575222153,phone:+1******60},{name:Daniel Thompson,title:Machining Supervisor,email:d*****@accrotool.com,firstName:Daniel,lastName:Thompson,companyName:null,seoPath:daniel-thompson/520563517,phone:+1******60},{name:Paul Landi,title:Facilities and Maintenance Manager,email:p*****@accrotool.com,firstName:Paul,lastName:Landi,companyName:null,seoPath:paul-landi/830590609,phone:+1******60},{name:Kimberly Shank,title:Inventory Control and Assembly Supervisor,email:k*****@accrotool.com,firstName:Kimberly,lastName:Shank,companyName:null,seoPath:kimberly-shank/248514660,phone:+1******60},{name:Kimberly Clark,title:INVENTORY Control,email:k*****@accrotool.com,firstName:Kimberly,lastName:Clark,companyName:null,seoPath:kimberly-clark/978903120,phone:+1******60},{name:James Rura,title:Product Development Engineer,email:j*****@accrotool.com,firstName:James,lastName:Rura,companyName:null,seoPath:james-rura/830762777,phone:+1******60},{name:Lisa Kaufman,title:Inside Sales,email:l*****@accrotool.com,firstName:Lisa,lastName:Kaufman,companyName:null,seoPath:lisa-kaufman/636093616,phone:+1******60}
